dataset,model,defense,metric,mean_none,mean_def,mean_diff,ci_low,ci_high,cohens_d,p_val,n_seeds,p_val_corrected,significant
Citeseer,GraphSAGE,epsd_ablation,conf_attack_auc,0.7251399999999999,0.7251399999999999,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GraphSAGE,epsd_ablation,threshold_attack_auc,0.7303,0.7303,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GraphSAGE,epsd_ablation,shadow_attack_auc,0.7299,0.7299,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GraphSAGE,epsd_ablation,label_only_attack_auc,0.6777400000000001,0.6777400000000001,0.0,0.0,0.0,0.0,1.0,5,1.0,False
Citeseer,GraphSAGE,dp_sgd,test_accuracy,0.74628,0.71562,-0.03066,-0.04278216409516006,-0.01853783590483994,-4.736611120867022,0.002166118165653234,5,0.03669659010047832,True
Citeseer,GraphSAGE,dp_sgd,test_auroc,0.9245599999999999,0.90818,-0.016379999999999995,-0.021314267120677903,-0.011445732879322087,-3.3748097685961556,0.0007700048265315266,5,0.01848011583675664,True
Citeseer,GraphSAGE,dp_sgd,conf_attack_auc,0.7251399999999999,0.59556,-0.12958,-0.14007900152151032,-0.11908099847848969,-14.250707575718637,4.3268647851976675e-06,5,0.0005545574721142091,True
Citeseer,GraphSAGE,dp_sgd,threshold_attack_auc,0.7303,0.6010399999999999,-0.12925999999999999,-0.14001692442082436,-0.11850307557917561,-15.881176868717269,4.813866945435843e-06,5,0.0005545574721142091,True
Citeseer,GraphSAGE,dp_sgd,shadow_attack_auc,0.7299,0.58806,-0.14184000000000002,-0.15941746323760342,-0.12426253676239662,-16.721056222815662,2.3500583117201252e-05,5,0.001100873627891648,True
Citeseer,GraphSAGE,dp_sgd,label_only_attack_auc,0.6777400000000001,0.54226,-0.13548000000000002,-0.14665131937492568,-0.12430868062507437,-11.69156789300901,4.640476652105699e-06,5,0.0005545574721142091,True
Cora,GCN,epsd_tuned,test_accuracy,0.87194,0.87194,0.0,0.0,0.0,0.0,1.0,5,1.0,False
